food_name,mood_index,mood_index_E
noodle_egg01,20,60
noodle_egg01,50,70
noodle_egg01,60,85
noodle_egg01,80,75
noodle_egg01,80,70
noodle_egg01,78,68
noodle_egg01,60,65
noodle_egg01,55,62
noodle_egg01,52,60
Egg_tart02,50,80
Egg_tart02,35,90
Egg_tart02,32,100
Egg_tart02,30,95
Egg_tart02,30,90
Egg_tart02,28,88
Bagel_and_noodle03,85,30
Bagel_and_noodle03,88,45
Bagel_and_noodle03,90,66
Bagel_and_noodle03,91,80
Bagel_and_noodle03,93,82
Bagel_and_noodle03,94,84
Bagel_and_noodle03,90,80
Bagel_and_noodle03,85,77
Bagel_and_noodle03,83,65
Bagel_and_noodle03,75,45
Bagel_and_noodle03,70,40
